Time (ms);Distance (cm);Brightness (lux);a_x (m/s^2);a_y (m/s^2);a_z (m/s^2);a_mag (m/s^2);r_x (rad/s^2);r_y (rad/s^2);r_z (rad/s^2);roll (deg);pitch (deg);yaw (deg)
16037; 100.19 ; 439.00 ; 0.04 ; -0.59 ; 9.30 ; 9.32 ; 0.06 ; -0.11 ; 0.08 ; -3.62 ; -0.24 ; 86.87
16167; 109.13 ; 440.00 ; 0.08 ; -0.43 ; 9.22 ; 9.23 ; 0.05 ; -0.11 ; 0.07 ; -2.68 ; -0.49 ; 87.84
16294; 123.51 ; 438.00 ; 0.24 ; -0.43 ; 9.22 ; 9.23 ; 0.05 ; -0.12 ; 0.16 ; -2.68 ; -1.46 ; 87.39
16422; 100.24 ; 483.00 ; 0.16 ; -0.51 ; 9.38 ; 9.39 ; 0.06 ; -0.11 ; 0.06 ; -3.11 ; -0.96 ; 89.04
16549; 106.82 ; 475.00 ; 0.08 ; -0.63 ; 9.41 ; 9.44 ; 0.06 ; -0.11 ; 0.07 ; -3.81 ; -0.48 ; 90.24
Time (ms);Distance (cm);Brightness (lux);a_x (m/s^2);a_y (m/s^2);a_z (m/s^2);a_mag (m/s^2);r_x (rad/s^2);r_y (rad/s^2);r_z (rad/s^2);roll (deg);pitch (deg);yaw (deg)
1047; 96.55 ; 467.00 ; 0.08 ; -0.63 ; 9.34 ; 9.36 ; 0.05 ; -0.11 ; 0.07 ; -3.85 ; -0.48 ; 85.70
1208; 118.55 ; 501.00 ; 0.08 ; -0.55 ; 9.22 ; 9.23 ; 0.06 ; -0.11 ; 0.07 ; -3.41 ; -0.49 ; 85.64
1336; 111.08 ; 488.00 ; 0.08 ; -0.51 ; 9.30 ; 9.31 ; 0.06 ; -0.11 ; 0.05 ; -3.14 ; -0.48 ; 87.49
1464; 134.12 ; 467.00 ; 0.08 ; -0.67 ; 9.22 ; 9.24 ; 0.06 ; -0.11 ; 0.04 ; -4.14 ; -0.49 ; 87.11
1592; 127.47 ; 454.00 ; -0.04 ; -0.47 ; 9.18 ; 9.19 ; 0.06 ; -0.11 ; 0.04 ; -2.94 ; 0.24 ; 85.30
1723; 94.24 ; 452.00 ; 0.00 ; -0.16 ; 9.30 ; 9.30 ; 0.06 ; -0.11 ; 0.03 ; -0.97 ; 0.00 ; 85.61
1850; 107.41 ; 496.00 ; -0.04 ; -0.24 ; 9.45 ; 9.46 ; 0.05 ; -0.11 ; 0.01 ; -1.43 ; 0.24 ; 87.05
1977; 112.41 ; 500.00 ; 0.16 ; -0.04 ; 9.41 ; 9.42 ; 0.06 ; -0.11 ; 0.07 ; -0.24 ; -0.95 ; 85.50
2104; 110.52 ; 463.00 ; 0.16 ; -0.04 ; 9.41 ; 9.42 ; 0.05 ; -0.11 ; 0.05 ; -0.24 ; -0.95 ; 84.46
2232; 120.33 ; 456.00 ; 0.24 ; -0.12 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; -0.01 ; -0.72 ; -1.44 ; 82.92
2363; 111.14 ; 449.00 ; 0.12 ; -0.27 ; 9.26 ; 9.26 ; 0.05 ; -0.10 ; -0.01 ; -1.70 ; -0.73 ; 85.53
2490; 147.11 ; 446.00 ; 0.00 ; -0.04 ; 9.45 ; 9.45 ; 0.06 ; -0.11 ; 0.06 ; -0.24 ; 0.00 ; 84.53
2619; 136.67 ; 459.00 ; 0.12 ; -0.16 ; 9.30 ; 9.30 ; 0.05 ; -0.11 ; -0.01 ; -0.97 ; -0.73 ; 84.61
2748; 133.34 ; 474.00 ; 0.00 ; -0.31 ; 9.38 ; 9.38 ; 0.05 ; -0.10 ; -0.02 ; -1.92 ; 0.00 ; 86.22
2876; 105.32 ; 467.00 ; 0.12 ; -0.39 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; -0.01 ; -2.40 ; -0.72 ; 83.96
3006; 121.51 ; 472.00 ; 0.08 ; -0.31 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; 0.06 ; -1.92 ; -0.48 ; 83.68
3135; 96.38 ; 424.00 ; 0.00 ; -0.20 ; 9.38 ; 9.38 ; 0.05 ; -0.11 ; -0.01 ; -1.20 ; 0.00 ; 84.88
3261; 137.61 ; 411.00 ; 0.12 ; -0.43 ; 9.41 ; 9.43 ; 0.05 ; -0.11 ; 0.05 ; -2.62 ; -0.72 ; 83.91
3390; 109.20 ; 435.00 ; 0.04 ; -0.51 ; 9.34 ; 9.35 ; 0.05 ; -0.10 ; -0.08 ; -3.13 ; -0.24 ; 85.23
3517; 107.11 ; 441.00 ; 0.08 ; -0.55 ; 9.18 ; 9.20 ; 0.05 ; -0.10 ; -0.07 ; -3.42 ; -0.49 ; 84.05
3647; 118.89 ; 440.00 ; 0.12 ; -0.59 ; 9.30 ; 9.32 ; 0.05 ; -0.11 ; 0.06 ; -3.62 ; -0.72 ; 82.47
3775; 95.05 ; 397.00 ; 0.08 ; -0.51 ; 9.14 ; 9.15 ; 0.05 ; -0.11 ; 0.12 ; -3.19 ; -0.49 ; 83.68
3901; 113.07 ; 394.00 ; -0.04 ; -0.39 ; 9.22 ; 9.23 ; 0.05 ; -0.11 ; -0.02 ; -2.44 ; 0.24 ; 84.53
4029; 109.44 ; 431.00 ; -0.04 ; -0.55 ; 9.26 ; 9.27 ; 0.05 ; -0.11 ; 0.00 ; -3.39 ; 0.24 ; 84.65
4156; 107.91 ; 416.00 ; -0.12 ; -0.51 ; 9.41 ; 9.43 ; 0.06 ; -0.11 ; 0.04 ; -3.10 ; 0.72 ; 86.60
4286; 103.88 ; 407.00 ; 0.35 ; -0.67 ; 9.41 ; 9.44 ; 0.06 ; -0.11 ; 0.04 ; -4.05 ; -2.14 ; 81.60
4413; 104.85 ; 371.00 ; 0.04 ; -0.47 ; 9.22 ; 9.23 ; 0.05 ; -0.11 ; -0.00 ; -2.92 ; -0.24 ; 83.49
4540; 98.93 ; 388.00 ; 0.04 ; -0.51 ; 9.38 ; 9.39 ; 0.05 ; -0.10 ; -0.01 ; -3.11 ; -0.24 ; 83.62
4667; 101.02 ; 385.00 ; 0.00 ; -0.43 ; 9.30 ; 9.31 ; 0.05 ; -0.11 ; -0.01 ; -2.66 ; 0.00 ; 83.87
4794; 111.56 ; 345.00 ; -0.04 ; -0.24 ; 9.34 ; 9.34 ; 0.05 ; -0.11 ; 0.02 ; -1.44 ; 0.24 ; 84.03
4924; 94.85 ; 329.00 ; 0.12 ; -0.63 ; 9.22 ; 9.24 ; 0.06 ; -0.13 ; 0.27 ; -3.89 ; -0.73 ; 82.21
5051; 105.22 ; 335.00 ; 0.04 ; -0.51 ; 9.41 ; 9.43 ; 0.06 ; -0.13 ; 0.27 ; -3.10 ; -0.24 ; 84.05
5178; 108.59 ; 344.00 ; 0.04 ; -0.47 ; 9.30 ; 9.31 ; 0.06 ; -0.13 ; 0.27 ; -2.90 ; -0.24 ; 83.97
5305; 107.45 ; 312.00 ; 0.04 ; -0.47 ; 9.26 ; 9.27 ; 0.06 ; -0.13 ; 0.27 ; -2.91 ; -0.24 ; 86.18
